DSA|Title|Level|Question|YoutubeLink
Two Pointers|Two Sum II Input Array Is Sorted|Medium|<div class="elfjS" data-track-load="description_content"><p>Given a <strong>1-indexed</strong> array of integers <code>numbers</code> that is already <strong><em>sorted in non-decreasing order</em></strong>, find two numbers such that they add up to a specific <code>target</code> number. Let these two numbers be <code>numbers[index<sub>1</sub>]</code> and <code>numbers[index<sub>2</sub>]</code> where <code>1 &lt;= index<sub>1</sub> &lt; index<sub>2</sub> &lt;= numbers.length</code>.</p> <p>Return<em> the indices of the two numbers, </em><code>index<sub>1</sub></code><em> and </em><code>index<sub>2</sub></code><em>, <strong>added by one</strong> as an integer array </em><code>[index<sub>1</sub>, index<sub>2</sub>]</code><em> of length 2.</em></p> <p>The tests are generated such that there is <strong>exactly one solution</strong>. You <strong>may not</strong> use the same element twice.</p> <p>Your solution must use only constant extra space.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> numbers = [<u>2</u>,<u>7</u>,11,15], target = 9 <strong>Output:</strong> [1,2] <strong>Explanation:</strong> The sum of 2 and 7 is 9. Therefore, index<sub>1</sub> = 1, index<sub>2</sub> = 2. We return [1, 2]. </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> numbers = [<u>2</u>,3,<u>4</u>], target = 6 <strong>Output:</strong> [1,3] <strong>Explanation:</strong> The sum of 2 and 4 is 6. Therefore index<sub>1</sub> = 1, index<sub>2</sub> = 3. We return [1, 3]. </pre> <p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> numbers = [<u>-1</u>,<u>0</u>], target = -1 <strong>Output:</strong> [1,2] <strong>Explanation:</strong> The sum of -1 and 0 is -1. Therefore index<sub>1</sub> = 1, index<sub>2</sub> = 2. We return [1, 2]. </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>2 &lt;= numbers.length &lt;= 3 * 10<sup>4</sup></code></li> 	<li><code>-1000 &lt;= numbers[i] &lt;= 1000</code></li> 	<li><code>numbers</code> is sorted in <strong>non-decreasing order</strong>.</li> 	<li><code>-1000 &lt;= target &lt;= 1000</code></li> 	<li>The tests are generated such that there is <strong>exactly one solution</strong>.</li> </ul> </div>|https://www.youtube.com/watch?v=cQ1Oz4ckceM
Two Pointers|3Sum|Medium|<div class="elfjS" data-track-load="description_content"><p>Given an integer array nums, return all the triplets <code>[nums[i], nums[j], nums[k]]</code> such that <code>i != j</code>, <code>i != k</code>, and <code>j != k</code>, and <code>nums[i] + nums[j] + nums[k] == 0</code>.</p> <p>Notice that the solution set must not contain duplicate triplets.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> nums = [-1,0,1,2,-1,-4] <strong>Output:</strong> [[-1,-1,2],[-1,0,1]] <strong>Explanation:</strong>  nums[0] + nums[1] + nums[2] = (-1) + 0 + 1 = 0. nums[1] + nums[2] + nums[4] = 0 + 1 + (-1) = 0. nums[0] + nums[3] + nums[4] = (-1) + 2 + (-1) = 0. The distinct triplets are [-1,0,1] and [-1,-1,2]. Notice that the order of the output and the order of the triplets does not matter. </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> nums = [0,1,1] <strong>Output:</strong> [] <strong>Explanation:</strong> The only possible triplet does not sum up to 0. </pre> <p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> nums = [0,0,0] <strong>Output:</strong> [[0,0,0]] <strong>Explanation:</strong> The only possible triplet sums up to 0. </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>3 &lt;= nums.length &lt;= 3000</code></li> 	<li><code>-10<sup>5</sup> &lt;= nums[i] &lt;= 10<sup>5</sup></code></li> </ul> </div>|https://www.youtube.com/watch?v=jzZsG8n2R9A
Two Pointers|Container With Most Water|Medium|<div class="elfjS" data-track-load="description_content"><p>You are given an integer array <code>height</code> of length <code>n</code>. There are <code>n</code> vertical lines drawn such that the two endpoints of the <code>i<sup>th</sup></code> line are <code>(i, 0)</code> and <code>(i, height[i])</code>.</p> <p>Find two lines that together with the x-axis form a container, such that the container contains the most water.</p> <p>Return <em>the maximum amount of water a container can store</em>.</p> <p><strong>Notice</strong> that you may not slant the container.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://s3-lc-upload.s3.amazonaws.com/uploads/2018/07/17/question_11.jpg" style="width: 600px; height: 287px;"> <pre><strong>Input:</strong> height = [1,8,6,2,5,4,8,3,7] <strong>Output:</strong> 49 <strong>Explanation:</strong> The above vertical lines are represented by array [1,8,6,2,5,4,8,3,7]. In this case, the max area of water (blue section) the container can contain is 49. </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> height = [1,1] <strong>Output:</strong> 1 </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>n == height.length</code></li> 	<li><code>2 &lt;= n &lt;= 10<sup>5</sup></code></li> 	<li><code>0 &lt;= height[i] &lt;= 10<sup>4</sup></code></li> </ul> </div>|https://www.youtube.com/watch?v=UuiTKBwPgAo
Two Pointers|Trapping Rain Water|Hard|<div class="elfjS" data-track-load="description_content"><p>Given <code>n</code> non-negative integers representing an elevation map where the width of each bar is <code>1</code>, compute how much water it can trap after raining.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img src="https://assets.leetcode.com/uploads/2018/10/22/rainwatertrap.png" style="width: 412px; height: 161px;"> <pre><strong>Input:</strong> height = [0,1,0,2,1,0,1,3,2,1,2,1] <strong>Output:</strong> 6 <strong>Explanation:</strong> The above elevation map (black section) is represented by array [0,1,0,2,1,0,1,3,2,1,2,1]. In this case, 6 units of rain water (blue section) are being trapped. </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> height = [4,2,0,3,2,5] <strong>Output:</strong> 9 </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>n == height.length</code></li> 	<li><code>1 &lt;= n &lt;= 2 * 10<sup>4</sup></code></li> 	<li><code>0 &lt;= height[i] &lt;= 10<sup>5</sup></code></li> </ul> </div>|https://www.youtube.com/watch?v=ZI2z5pq0TqA
Sliding Window|Best Time to Buy And Sell Stock|Easy|<div class="elfjS" data-track-load="description_content"><p>You are given an array <code>prices</code> where <code>prices[i]</code> is the price of a given stock on the <code>i<sup>th</sup></code> day.</p> <p>You want to maximize your profit by choosing a <strong>single day</strong> to buy one stock and choosing a <strong>different day in the future</strong> to sell that stock.</p> <p>Return <em>the maximum profit you can achieve from this transaction</em>. If you cannot achieve any profit, return <code>0</code>.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> prices = [7,1,5,3,6,4] <strong>Output:</strong> 5 <strong>Explanation:</strong> Buy on day 2 (price = 1) and sell on day 5 (price = 6), profit = 6-1 = 5. Note that buying on day 2 and selling on day 1 is not allowed because you must buy before you sell. </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> prices = [7,6,4,3,1] <strong>Output:</strong> 0 <strong>Explanation:</strong> In this case, no transactions are done and the max profit = 0. </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>1 &lt;= prices.length &lt;= 10<sup>5</sup></code></li> 	<li><code>0 &lt;= prices[i] &lt;= 10<sup>4</sup></code></li> </ul> </div>|https://www.youtube.com/watch?v=1pkOgXD63yU
Sliding Window|Longest Substring Without Repeating Characters|Medium|<div class="elfjS" data-track-load="description_content"><p>Given a string <code>s</code>, find the length of the <strong>longest</strong> <span data-keyword="substring-nonempty" class=" cursor-pointer relative text-dark-blue-s text-sm"><div class="popover-wrapper inline-block" data-headlessui-state=""><div><div aria-expanded="false" data-headlessui-state="" id="headlessui-popover-button-:ro:"><div><strong>substring</strong></div></div><div style="position: fixed; z-index: 40; inset: 0px auto auto 0px; transform: translate(366px, 215px);"></div></div></div></span> without repeating characters.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> s = "abcabcbb" <strong>Output:</strong> 3 <strong>Explanation:</strong> The answer is "abc", with the length of 3. </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> s = "bbbbb" <strong>Output:</strong> 1 <strong>Explanation:</strong> The answer is "b", with the length of 1. </pre> <p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> s = "pwwkew" <strong>Output:</strong> 3 <strong>Explanation:</strong> The answer is "wke", with the length of 3. Notice that the answer must be a substring, "pwke" is a subsequence and not a substring. </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>0 &lt;= s.length &lt;= 5 * 10<sup>4</sup></code></li> 	<li><code>s</code> consists of English letters, digits, symbols and spaces.</li> </ul> </div>|https://www.youtube.com/watch?v=wiGpQwVHdE0
Sliding Window|Longest Repeating Character Replacement|Medium|<div class="elfjS" data-track-load="description_content"><p>You are given a string <code>s</code> and an integer <code>k</code>. You can choose any character of the string and change it to any other uppercase English character. You can perform this operation at most <code>k</code> times.</p> <p>Return <em>the length of the longest substring containing the same letter you can get after performing the above operations</em>.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> s = "ABAB", k = 2 <strong>Output:</strong> 4 <strong>Explanation:</strong> Replace the two 'A's with two 'B's or vice versa. </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> s = "AABABBA", k = 1 <strong>Output:</strong> 4 <strong>Explanation:</strong> Replace the one 'A' in the middle with 'B' and form "AABBBBA". The substring "BBBB" has the longest repeating letters, which is 4. There may exists other ways to achieve this answer too.</pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>1 &lt;= s.length &lt;= 10<sup>5</sup></code></li> 	<li><code>s</code> consists of only uppercase English letters.</li> 	<li><code>0 &lt;= k &lt;= s.length</code></li> </ul> </div>|https://www.youtube.com/watch?v=gqXU1UyA8pk
Sliding Window|Permutation In String|Medium|<div class="elfjS" data-track-load="description_content"><p>Given two strings <code>s1</code> and <code>s2</code>, return <code>true</code><em> if </em><code>s2</code><em> contains a permutation of </em><code>s1</code><em>, or </em><code>false</code><em> otherwise</em>.</p> <p>In other words, return <code>true</code> if one of <code>s1</code>'s permutations is the substring of <code>s2</code>.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> s1 = "ab", s2 = "eidbaooo" <strong>Output:</strong> true <strong>Explanation:</strong> s2 contains one permutation of s1 ("ba"). </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> s1 = "ab", s2 = "eidboaoo" <strong>Output:</strong> false </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>1 &lt;= s1.length, s2.length &lt;= 10<sup>4</sup></code></li> 	<li><code>s1</code> and <code>s2</code> consist of lowercase English letters.</li> </ul> </div>|https://www.youtube.com/watch?v=UbyhOgBN834
Sliding Window|Minimum Window Substring|Hard|<div class="elfjS" data-track-load="description_content"><p>Given two strings <code>s</code> and <code>t</code> of lengths <code>m</code> and <code>n</code> respectively, return <em>the <strong>minimum window</strong></em> <span data-keyword="substring-nonempty" class=" cursor-pointer relative text-dark-blue-s text-sm"><div class="popover-wrapper inline-block" data-headlessui-state=""><div><div aria-expanded="false" data-headlessui-state="" id="headlessui-popover-button-:ro:"><div><strong><em>substring</em></strong></div></div><div style="position: fixed; z-index: 40; inset: 0px auto auto 0px; transform: translate(116px, 204px);"></div></div></div></span><em> of </em><code>s</code><em> such that every character in </em><code>t</code><em> (<strong>including duplicates</strong>) is included in the window</em>. If there is no such substring, return <em>the empty string </em><code>""</code>.</p> <p>The testcases will be generated such that the answer is <strong>unique</strong>.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> s = "ADOBECODEBANC", t = "ABC" <strong>Output:</strong> "BANC" <strong>Explanation:</strong> The minimum window substring "BANC" includes 'A', 'B', and 'C' from string t. </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> s = "a", t = "a" <strong>Output:</strong> "a" <strong>Explanation:</strong> The entire string s is the minimum window. </pre> <p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> s = "a", t = "aa" <strong>Output:</strong> "" <strong>Explanation:</strong> Both 'a's from t must be included in the window. Since the largest window of s only has one 'a', return empty string. </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>m == s.length</code></li> 	<li><code>n == t.length</code></li> 	<li><code>1 &lt;= m, n &lt;= 10<sup>5</sup></code></li> 	<li><code>s</code> and <code>t</code> consist of uppercase and lowercase English letters.</li> </ul> <p>&nbsp;</p> <p><strong>Follow up:</strong> Could you find an algorithm that runs in <code>O(m + n)</code> time?</p> </div>|https://www.youtube.com/watch?v=jSto0O4AJbM
Sliding Window|Sliding Window Maximum|Hard|<div class="elfjS" data-track-load="description_content"><p>You are given an array of integers&nbsp;<code>nums</code>, there is a sliding window of size <code>k</code> which is moving from the very left of the array to the very right. You can only see the <code>k</code> numbers in the window. Each time the sliding window moves right by one position.</p> <p>Return <em>the max sliding window</em>.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> nums = [1,3,-1,-3,5,3,6,7], k = 3 <strong>Output:</strong> [3,3,5,5,6,7] <strong>Explanation:</strong>  Window position                Max ---------------               ----- [1  3  -1] -3  5  3  6  7       <strong>3</strong>  1 [3  -1  -3] 5  3  6  7       <strong>3</strong>  1  3 [-1  -3  5] 3  6  7      <strong> 5</strong>  1  3  -1 [-3  5  3] 6  7       <strong>5</strong>  1  3  -1  -3 [5  3  6] 7       <strong>6</strong>  1  3  -1  -3  5 [3  6  7]      <strong>7</strong> </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> nums = [1], k = 1 <strong>Output:</strong> [1] </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>1 &lt;= nums.length &lt;= 10<sup>5</sup></code></li> 	<li><code>-10<sup>4</sup> &lt;= nums[i] &lt;= 10<sup>4</sup></code></li> 	<li><code>1 &lt;= k &lt;= nums.length</code></li> </ul> </div>|https://www.youtube.com/watch?v=DfljaUwZsOk
Stack|Valid Parentheses|Easy|<div class="elfjS" data-track-load="description_content"><p>Given a string <code>s</code> containing just the characters <code>'('</code>, <code>')'</code>, <code>'{'</code>, <code>'}'</code>, <code>'['</code> and <code>']'</code>, determine if the input string is valid.</p> <p>An input string is valid if:</p> <ol> 	<li>Open brackets must be closed by the same type of brackets.</li> 	<li>Open brackets must be closed in the correct order.</li> 	<li>Every close bracket has a corresponding open bracket of the same type.</li> </ol> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> s = "()" <strong>Output:</strong> true </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> s = "()[]{}" <strong>Output:</strong> true </pre> <p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> s = "(]" <strong>Output:</strong> false </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>1 &lt;= s.length &lt;= 10<sup>4</sup></code></li> 	<li><code>s</code> consists of parentheses only <code>'()[]{}'</code>.</li> </ul> </div>|https://www.youtube.com/watch?v=WTzjTskDFMg
